"Parcel","SequenceNum","SaleDate","SalePrice","PropertyType","IntendedUse","Deed","Financing","ValidationDescription","BuyerSellerRelated","Solar","PersonalProperty","PartialInterest","RecordingDate"
402011500,20180530418,201802,10000,Vacant Land,Unknown,Quit Claim Deed,Cash,More than five (5) parcels being sold,No,No,No,No,2018-02-22
402011120,20180530418,201802,10000,Vacant Land,Unknown,Quit Claim Deed,Cash,More than five (5) parcels being sold,No,No,No,No,2018-02-22
402011110,20180530418,201802,10000,Vacant Land,Unknown,Quit Claim Deed,Cash,More than five (5) parcels being sold,No,No,No,No,2018-02-22
402011100,20180530418,201802,10000,Vacant Land,Unknown,Quit Claim Deed,Cash,More than five (5) parcels being sold,No,No,No,No,2018-02-22
402011090,20180530418,201802,10000,Vacant Land,Unknown,Quit Claim Deed,Cash,More than five (5) parcels being sold,No,No,No,No,2018-02-22
402011070,20180530418,201802,10000,Vacant Land,Unknown,Quit Claim Deed,Cash,More than five (5) parcels being sold,No,No,No,No,2018-02-22
402011060,20180530418,201802,10000,Vacant Land,Unknown,Quit Claim Deed,Cash,More than five (5) parcels being sold,No,No,No,No,2018-02-22
402011050,20180530418,201802,10000,Vacant Land,Unknown,Quit Claim Deed,Cash,More than five (5) parcels being sold,No,No,No,No,2018-02-22
402011030,20180530418,201802,10000,Vacant Land,Unknown,Quit Claim Deed,Cash,More than five (5) parcels being sold,No,No,No,No,2018-02-22
401554540,20181420033,201805,49500,Single Family,PrimaryRes,Warranty Deed,Cash,Suspicious Sale,No,No,No,No,2018-05-22
401554320,20182060340,201805,50000,Single Family,PrimaryRes,Warranty Deed,Other,Sale under duress,No,No,No,No,2018-07-25
401554070,20180180418,201801,27500,Single Family,Rental,Joint Tenancy Deed,Cash,Sale under duress,No,No,No,No,2018-01-18
401554060,20180360338,201801,51500,Single Family,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-02-05
401554030,20180540065,201801,55000,Single Family,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-02-23
401554020,20182700129,201808,65000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2018-09-27
401554020,20180850271,201803,40000,Single Family,PrimaryRes,Joint Tenancy Deed,Other,Good Sale,No,No,No,No,2018-03-26
401554000,20182830189,201810,54000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2018-10-10
401553930,20182150115,201808,63000,Single Family,PrimaryRes,Warranty Deed,Cash,,No,No,No,No,2018-08-03
401553800,20180610275,201803,74500,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-03-02
401553620,20181430266,201805,65000,Single Family,NonPrimary,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-05-23
401552950,20181940113,201807,198000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2018-07-13
401552610,20182420101,201807,50000,Single Family,NonPrimary,Warranty Deed,Other,,No,No,No,No,2018-08-30
401552490,20182290708,201808,80000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-08-17
401552300,20183380416,201808,75000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-12-04
401552250,20180470307,201802,66000,Single Family,PrimaryRes,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-02-16
401551880,20180510478,201802,98000,Single Family,PrimaryRes,Warranty Deed,Cash,Good Sale,No,No,No,No,2018-02-20
401551840,20182600374,201809,60000,Single Family,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-09-17
401551800,20180310240,201801,39900,Single Family,PrimaryRes,Warranty Deed,Cash,Sale to or from a government agency,No,No,No,No,2018-01-31
401551770,20190180086,201806,90500,Single Family,PrimaryRes,Warranty Deed,Other,,No,No,No,No,2019-01-18
401551270,20180750422,201803,90000,Single Family,PrimaryRes,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-03-16
401551260,20180530508,201802,20000,Single Family,NonPrimary,Warranty Deed,Cash,Sale under duress,No,No,No,No,2018-02-22
401550840,20181130769,201804,35000,Single Family,Rental,Warranty Deed,Cash,Sale under duress,No,No,No,No,2018-04-23
401550800,20181360687,201804,82000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2018-05-16
401550730,20183550418,201812,82000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2018-12-21
401550300,20182120293,201806,92000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-07-31
401550290,20181360370,201802,106500,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2018-05-16
401550270,20180590560,201802,38000,Single Family,NonPrimary,Warranty Deed,Cash,Sale to or from a government agency,No,No,No,No,2018-02-28
40138030C,20183520281,201812,35000,Mobile Home,NonPrimary,Warranty Deed,Cash,Unsecured Mobile Home,No,No,Yes,No,2018-12-18
40138021C,20180680419,201802,65000,Single Family,PrimaryRes,Warranty Deed,Cash,Sale under duress,No,No,No,No,2018-03-09
40138013A,20181360288,201804,37000,Commercial/Industrial,Unknown,Warranty Deed,Cash,Sale under duress,No,No,No,No,2018-05-16
40138012G,20181360288,201804,37000,Commercial/Industrial,Unknown,Warranty Deed,Cash,Sale under duress,No,No,No,No,2018-05-16
40138012F,20181360288,201804,37000,Commercial/Industrial,Unknown,Warranty Deed,Cash,Sale under duress,No,No,No,No,2018-05-16
40138012E,20181360288,201804,37000,Commercial/Industrial,Unknown,Warranty Deed,Cash,Sale under duress,No,No,No,No,2018-05-16
40128023T,20180190624,201801,767912,Commercial/Industrial,Unknown,Warranty Deed,Other,More than five (5) parcels being sold,Yes,No,No,No,2018-01-19
40128023S,20180190624,201801,767912,Commercial/Industrial,Unknown,Warranty Deed,Other,More than five (5) parcels being sold,Yes,No,No,No,2018-01-19
401260540,20180260440,201801,200000,Commercial/Industrial,Unknown,Warranty Deed,Other,Sale includes quantifiable Personal Property > 5%,No,No,Yes,No,2018-01-26
401260540,20183610430,201812,180000,Commercial/Industrial,Unknown,Warranty Deed,Other,Buyer/Seller are related parties or corporate entities,Yes,No,No,No,2018-12-27
40126012B,20181440367,201802,175000,Single Family,PrimaryRes,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-05-24
401251440,20180960145,201803,55000,Single Family,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-04-06
401251330,20183040375,201810,42500,Single Family,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-10-31
401251190,20181520161,201805,41500,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2018-06-01
401251160,20180310311,201801,76000,Single Family,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-01-31
401251030,20182740394,201810,25000,Single Family,Rental,Warranty Deed,Cash,,No,No,No,No,2018-10-01
401251020,20182220285,201806,45600,Single Family,PrimaryRes,Warranty Deed,Other,,No,No,No,No,2018-08-10
401251010,20182220285,201806,45600,Single Family,PrimaryRes,Warranty Deed,Other,,No,No,No,No,2018-08-10
401251000,20182220285,201806,45600,Single Family,PrimaryRes,Warranty Deed,Other,,No,No,No,No,2018-08-10
401250790,20181230426,201801,79000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2018-05-03
401250290,20182500128,201809,9000,Vacant Land,Unknown,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-09-07
401250060,20180570575,201802,6500,Vacant Land,Unknown,Joint Tenancy Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2018-02-26
401241470,20182850182,201810,33000,Single Family,NonPrimary,Warranty Deed,Cash,,No,No,No,No,2018-10-12
401241350,20180370653,201802,60000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2018-02-06
401241310,20180860669,201803,22500,Single Family,NonPrimary,Warranty Deed,Cash,Sale under duress,No,No,No,No,2018-03-27
401240240,20182570735,201809,25000,Single Family,PrimaryRes,Joint Tenancy Deed,Cash,,No,No,No,No,2018-09-14
401240230,20182540582,201809,28000,Vacant Land,Unknown,Joint Tenancy Deed,Cash,Good Sale,No,No,No,No,2018-09-11
401240220,20182540582,201809,28000,Vacant Land,Unknown,Joint Tenancy Deed,Cash,Good Sale,No,No,No,No,2018-09-11
401240180,20180810429,201803,51013,Single Family,PrimaryRes,Warranty Deed,Cash,Sale under duress,No,No,No,No,2018-03-22
401232700,20181690596,201802,40000,Single Family,Rental,Warranty Deed,Other,Sale under duress,No,No,No,No,2018-06-18
401232670,20183120405,201810,25000,Single Family,PrimaryRes,Warranty Deed,Cash,,No,No,No,No,2018-11-08
401232560,20180790346,201803,23000,Vacant Land,Unknown,Warranty Deed,Cash,Good Sale,No,No,No,No,2018-03-20
