"Parcel","SequenceNum","SaleDate","SalePrice","PropertyType","IntendedUse","Deed","Financing","ValidationDescription","BuyerSellerRelated","Solar","PersonalProperty","PartialInterest","RecordingDate"
"401553210","20151000763","201502","53500","Single Family","NonPrimary","Warranty Deed","Other","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-04-10"
"401553060","20153450226","201512","70000","Single Family","NonPrimary","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-12-11"
"401552730","20151760269","201506","16000","Vacant Land","Unknown","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-06-25"
"401552700","20152120115","201507","65000","Single Family","PrimaryRes","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-07-31"
"401551900","20151070537","201504","67500","Single Family","NonPrimary","Warranty Deed","Cash","Good Sale","No","No","No","No","2015-04-17"
"401551740","20153280623","201511","78000","Single Family","PrimaryRes","Warranty Deed","Other","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-11-24"
"401551500","20152290209","201507","46000","Single Family","Rental","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-08-17"
"401551280","20151490145","201504","74400","Single Family","NonPrimary","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-05-29"
"401550880","20150580927","201501","118000","Single Family","PrimaryRes","Warranty Deed","Other","Good Sale","No","No","No","No","2015-02-27"
"401550580","20150850167","201503","76000","Single Family","PrimaryRes","Warranty Deed","Other","Good Sale","No","Yes","No","No","2015-03-26"
"401550050","20152610373","201509","42500","Single Family","Rental","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-09-18"
"401550010","20161580476","201511","182050","Single Family","PrimaryRes","Warranty Deed","Other","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2016-06-06"
"40151002D","20153480455","201512","1500000","Commercial/Industrial","Unknown","Warranty Deed","Other","More than five (5) parcels being sold","No","No","No","No","2015-12-14"
"401500060","20153480455","201512","1500000","Commercial/Industrial","Unknown","Warranty Deed","Other","More than five (5) parcels being sold","No","No","No","No","2015-12-14"
"401500050","20153480455","201512","1500000","Commercial/Industrial","Unknown","Warranty Deed","Other","More than five (5) parcels being sold","No","No","No","No","2015-12-14"
"401500040","20153480455","201512","1500000","Commercial/Industrial","Unknown","Warranty Deed","Other","More than five (5) parcels being sold","No","No","No","No","2015-12-14"
"401500030","20153480455","201512","1500000","Commercial/Industrial","Unknown","Warranty Deed","Other","More than five (5) parcels being sold","No","No","No","No","2015-12-14"
"40150002A","20153480455","201512","1500000","Commercial/Industrial","Unknown","Warranty Deed","Other","More than five (5) parcels being sold","No","No","No","No","2015-12-14"
"40138046B","20150830924","201503","180000","Commercial/Industrial","Unknown","Contract or Agreement","Other","Unusable sale which does not fit any other reject codes","No","No","No","No","2015-03-24"
"401380320","20153650469","201512","26500","Single Family","NonPrimary","Warranty Deed","Cash","Sale to or from a government agency","No","No","No","No","2015-12-31"
"40138005D","20153350154","201510","51000","Single Family","PrimaryRes","Joint Tenancy Deed","Cash","Good Sale","No","No","No","No","2015-12-01"
"401260710","20150980126","201502","100000","Single Family","PrimaryRes","Warranty Deed","Cash","Good Sale","No","No","No","No","2015-04-08"
"401260700","20150980126","201502","100000","Single Family","PrimaryRes","Warranty Deed","Cash","Good Sale","No","No","No","No","2015-04-08"
"401260540","20160150280","201512","45000","Commercial/Industrial","Unknown","Warranty Deed","Cash","Sale under duress","No","No","No","No","2016-01-15"
"401251610","20153160131","201511","11200","Single Family","NonPrimary","Quit Claim Deed","Cash","Sale under duress","No","No","No","No","2015-11-12"
"401251440","20150960015","201503","55000","Single Family","NonPrimary","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-04-06"
"401250570","20152020241","201507","30000","Single Family","NonPrimary","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-07-21"
"401250150","20152610240","201508","15500","Single Family","Rental","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-09-18"
"401241330","20151380744","201504","12500","Mobile Home","NonPrimary","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-05-18"
"40124120A","20151460197","201504","77900","Single Family","NonPrimary","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-05-26"
"401240570","20151760273","201505","16500","Mobile Home","NonPrimary","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-06-25"
"40124020G","20153380275","201510","6000","Single Family","Rental","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-12-04"
"401240150","20150440692","201502","37500","Single Family","PrimaryRes","Warranty Deed","Other","Sale under duress","No","No","No","No","2015-02-13"
"401240140","20151240212","201503","45250","Single Family","NonPrimary","Warranty Deed","Other","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-05-04"
"401240120","20150400291","201501","45000","Single Family","Rental","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-02-09"
"401232530","20150140167","201501","41000","Single Family","PrimaryRes","Warranty Deed","Other","Sale under duress","No","No","No","No","2015-01-14"
"401232520","20150140167","201501","41000","Single Family","PrimaryRes","Warranty Deed","Other","Sale under duress","No","No","No","No","2015-01-14"
"401232430","20150440103","201502","20000","Single Family","PrimaryRes","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-02-13"
"401232260","20152400406","201507","19723","Single Family","NonPrimary","Warranty Deed","Cash","Sale to or from a government agency","No","No","No","No","2015-08-28"
"40123217A","20150260504","201501","83500","Single Family","Rental","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-01-26"
"401231990","20153510213","201512","65000","Single Family","NonPrimary","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-12-17"
"401230940","20151470218","201504","55000","Single Family","NonPrimary","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-05-27"
"401230860","20151530470","201505","6500","Vacant Land","Unknown","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-06-02"
"401230560","20150500465","201502","35000","Apartment Building","Rental","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-02-19"
"40117193A","20150890704","201503","173000","Single Family","NonPrimary","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-03-30"
"401171880","20150350349","201501","80000","Vacant Land","PrimaryRes","Warranty Deed","Cash","Unsecured Mobile Home","No","No","No","No","2015-02-04"
"401171810","20152510555","201508","9500","Vacant Land","Unknown","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-09-08"
"401171800","20152510555","201508","9500","Vacant Land","Unknown","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-09-08"
"401171640","20151280326","201503","70000","Single Family","NonPrimary","Warranty Deed","Other","Good Sale","No","No","No","No","2015-05-08"
"401171440","20152510555","201508","9500","Vacant Land","Unknown","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-09-08"
"40116117A","20151350064","201504","120000","Single Family","NonPrimary","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-05-15"
"40116108C","20152290468","201506","145000","Single Family","NonPrimary","Warranty Deed","Other","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-08-17"
"401160680","20151530422","201504","1000","Vacant Land","NonPrimary","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-06-02"
"401160640","20151530422","201504","1000","Vacant Land","NonPrimary","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-06-02"
"401160490","20150830363","201503","29500","Single Family","NonPrimary","Warranty Deed","Other","Sale under duress","No","No","No","No","2015-03-24"
"40116032A","20150970486","201502","79900","Single Family","PrimaryRes","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-04-07"
"401160240","20150540536","201502","15535","Vacant Land","Unknown","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-02-23"
"40116023A","20150540537","201502","34465","Vacant Land","Unknown","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-02-23"
"40116017K","20150850525","201503","200000","Single Family","NonPrimary","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-03-26"
"401152090","20151270230","201504","8000","Vacant Land","NonPrimary","Warranty Deed","Cash","Good Sale","No","No","No","No","2015-05-07"
"401152080","20151620470","201504","45000","Commercial/Industrial","Unknown","Warranty Deed","Cash","Buyer/Seller has an Out-Of-State Address","No","No","No","No","2015-06-11"
"401151250","20152850163","201509","25000","Single Family","NonPrimary","Warranty Deed","Cash","Sale under duress","No","No","No","No","2015-10-12"
"401151040","20152030383","201506","60000","Single Family","PrimaryRes","Warranty Deed","Other","Good Sale","No","No","No","No","2015-07-22"
"401150940","20151330696","201504","15000","Vacant Land","Unknown","Contract or Agreement","Other","Unusable sale which does not fit any other reject codes","No","No","No","No","2015-05-13"
"401150440","20150510648","201502","4500","Vacant Land","Unknown","Quit Claim Deed","Cash","Sale under duress","No","No","No","No","2015-02-20"
"401141050","20151490134","201504","40000","Commercial/Industrial","Unknown","Warranty Deed","Other","Sale under duress","No","No","No","No","2015-05-29"
