"Parcel","SequenceNum","SaleDate","SalePrice","PropertyType","IntendedUse","Deed","Financing","ValidationDescription","BuyerSellerRelated","Solar","PersonalProperty","PartialInterest","RecordingDate"
401554390,20163480464,201610,50100,Single Family,PrimaryRes,Warranty Deed,Other,Sale to or from a government agency,No,No,No,No,2016-12-13
401553920,20160780126,201603,87500,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2016-03-18
401553610,20160250036,201601,30000,Single Family,NonPrimary,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-01-25
401553100,20160690476,201602,47500,Single Family,NonPrimary,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-03-09
401552990,20161060451,201604,76000,Single Family,NonPrimary,Warranty Deed,Other,Sale under duress,No,No,No,No,2016-04-15
401552210,20160291078,201601,31649,Single Family,PrimaryRes,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-01-29
401552030,20162720591,201609,35000,Single Family,PrimaryRes,Warranty Deed,Cash,Suspicious Sale,No,No,No,No,2016-09-28
401552010,20162430165,201608,50000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2016-08-30
401551440,20160360177,201601,40000,Single Family,PrimaryRes,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-02-05
401550880,20170240665,201611,112000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2017-01-24
401550730,20161450276,201605,40000,Single Family,Rental,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-05-24
401550370,20162240532,201607,46000,Single Family,NonPrimary,Warranty Deed,Cash,Sale to or from a government agency,No,No,No,No,2016-08-11
401550190,20161900302,201606,75000,Single Family,Rental,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-07-08
401550100,20163410859,201612,68000,Single Family,PrimaryRes,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-12-06
401550090,20162740941,201609,87000,Single Family,PrimaryRes,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2016-09-30
401550050,20170310455,201611,53000,Single Family,PrimaryRes,Warranty Deed,Other,Suspicious Sale,No,No,No,No,2017-01-31
40138035A,20160600799,201602,60000,Mobile Home,PrimaryRes,Warranty Deed,Cash,Unsecured Mobile Home,No,No,No,No,2016-02-29
40138030H,20162660379,201608,69750,Mobile Home,PrimaryRes,Warranty Deed,Cash,Good Sale,No,No,No,No,2016-09-22
401380280,20161060390,201603,30000,Single Family,Unknown,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2016-04-15
40138014A,20162650384,201609,60000,Commercial/Industrial,Rental,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-09-21
401260750,20160680417,201602,95000,Mobile Home,NonPrimary,Warranty Deed,Other,Unsecured Mobile Home,No,No,No,No,2016-03-08
401260480,20162720386,201609,20000,Single Family,NonPrimary,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-09-28
401260480,20161400084,201604,18000,Single Family,Rental,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-05-19
401260290,20161620789,201606,189900,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2016-06-10
401260280,20161620789,201606,189900,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2016-06-10
401251610,20160210182,201601,15500,Single Family,NonPrimary,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-01-21
401251570,20161180383,201604,25000,Single Family,NonPrimary,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-04-27
401251380,20160970081,201604,40000,Single Family,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2016-04-06
401251240,20160390265,201602,18064,Single Family,PrimaryRes,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-02-08
401251170,20160750304,201602,54000,Single Family,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2016-03-15
401250240,20170200345,201611,112500,Single Family,PrimaryRes,Warranty Deed,Other,Sale under duress,No,No,No,No,2017-01-20
401241340,20162670151,201609,20000,Single Family,NonPrimary,Warranty Deed,Cash,Sale under duress,No,No,No,No,2016-09-23
401240320,20160350170,201601,15000,Mobile Home,PrimaryRes,Quit Claim Deed,Cash,Sale under duress,No,No,No,No,2016-02-04
401240260,20163350505,201611,27500,Single Family,PrimaryRes,Warranty Deed,Other,Suspicious Sale,No,No,No,No,2016-11-30
401231500,20160610485,201602,40000,Single Family,PrimaryRes,Warranty Deed,Other,Sale under duress,No,No,No,No,2016-03-01
